shots_ontarget_win,shots_ontarget_lost,shots_offtarget_win,shots_offtarget_lost,shotsblocked_win,shotsblocked_lost,chances2score_win,chances2score_lost,drib_success_win,drib_success_lost,drib_unsuccess_win,drib_unsuccess_lost,keypasses_win,keypasses_lost,owngoals_win,owngoals_lost,dangmistakes_win,dangmistakes_lost,ycards_win,ycards_lost,rcards_win,rcards_lost,interceptions_win,interceptions_lost,Predicted_Value,fixture_id
5.0,2.0,16.0,2.0,11.0,-6.181222e-08,9.0,4.0,12.0,3.0,6.0,1.9999999,3.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,1.0,4.982384e-10,-1.5483717e-09,23.0,24.0,0.026660684,1710834
1.0000001,5.0,6.0,10.0,4.0,0.99999994,3.0000002,12.0,5.0,0.99999976,6.0,-6.3774515e-08,0.99999994,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,1.0,1.0,3.0,4.982384e-10,-1.5483717e-09,16.0,18.0,0.003700665,1710811
10.0,1.5796458e-07,10.0,5.0,5.0,0.99999994,11.0,3.0,5.0,5.0,3.0,4.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,19.0,34.0,0.99543,1711029
1.0000001,4.0,6.0,11.0,1.0,5.0,7.0,13.0,1.0000002,5.0,4.0,6.0,5.0,6.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,3.0,1.0,4.982384e-10,-1.5483717e-09,28.0,12.0,0.9785513,1711171
4.0,2.0,4.0,3.0,2.0,-6.181222e-08,4.0,5.0,3.0,4.0,3.0,1.9999999,3.0,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,16.0,16.0,0.9944876,1711177
5.0,0.99999994,8.0,4.0,1.393228e-07,0.99999994,11.0,3.0,6.0,5.0,2.0,1.9999999,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,16.0,17.0,0.98993874,1711070
6.0,3.0,4.0,5.0,1.0,4.0,8.0,5.0,3.0,11.0,2.0,5.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,4.0,2.0,4.982384e-10,-1.5483717e-09,20.0,28.0,0.9681247,1711140
5.0,0.99999994,1.0000002,7.0,1.0,3.0,2.0000002,3.0,14.0,6.0,5.0,12.0,1.923047e-07,2.0,-1.8396495e-10,-2.7594743e-10,1.0,3.0,1.0,1.0,4.982384e-10,-1.5483717e-09,25.0,25.0,0.9954657,1711025
5.0,3.0,3.0,3.0,2.0,0.99999994,7.0,4.0,7.0,5.0,4.0,4.0,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,4.0,3.0,4.982384e-10,-1.5483717e-09,18.0,28.0,0.012416972,1710814
2.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,0.99999994,0.99999994,-1.8396495e-10,-2.7594743e-10,2.0,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,13.999999,8.0,0.0065750605,1710963
4.0,2.0,19.0,2.0,9.0,2.0,15.0,3.0,8.0,4.0,5.0,1.9999999,10.999999,3.0,-1.8396495e-10,-2.7594743e-10,2.0,2.0,2.0,2.0,4.982384e-10,-1.5483717e-09,21.0,25.0,0.016183197,1710865
3.0,3.0,9.0,5.0,5.0,0.99999994,7.0,7.0,13.0,4.0,8.0,6.0,2.0,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,3.0,4.0,4.982384e-10,-1.5483717e-09,15.0,15.0,0.9936091,1711129
1.0000001,3.0,5.0,11.0,2.0,5.0,4.0,10.0,8.0,16.0,2.433243e-07,4.0,2.0,4.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,15.0,13.0,0.9836797,1711164
4.0,2.0,8.0,5.0,4.0,3.0,5.0,3.0,2.0,11.0,6.0,12.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,3.0,4.982384e-10,-1.5483717e-09,36.0,22.0,0.9929603,1711064
1.0498267e-07,5.0,2.0000002,8.0,1.0,2.0,0.9999997,12.0,3.0,8.0,5.0,3.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,1.0,3.0,1.0,1.0,4.982384e-10,-1.5483717e-09,31.0,20.0,0.003208102,1710917
4.0,0.99999994,7.0,5.0,1.0,0.99999994,7.0,5.0,4.0,3.0,1.0000002,4.0,0.99999994,4.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,43.0,19.0,0.9895364,1711046
10.0,0.99999994,8.0,1.0000002,3.0,0.99999994,12.0,0.9999997,4.0,1.9999998,6.0,1.9999999,5.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,3.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,16.0,18.0,0.9954282,1711175
1.0498267e-07,4.0,7.0,5.0,3.0,2.0,4.0,5.0,4.0,1.9999998,4.0,5.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,3.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,18.0,18.0,0.009743224,1710821
2.0,3.0,11.0,4.0,5.0,0.99999994,5.0,5.0,6.0,7.0,9.0,9.0,1.923047e-07,3.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,21.0,31.0,0.017994575,1710897
6.0,2.0,9.0,4.0,6.0,-6.181222e-08,8.0,6.0,8.0,3.0,11.0,3.0,3.0,2.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,11.999999,35.0,0.99554825,1710984
4.0,3.0,7.0,10.0,2.0,5.0,11.0,4.0,3.0,0.99999976,2.433243e-07,0.99999994,4.0,3.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,3.0,4.982384e-10,-1.5483717e-09,28.0,32.0,0.004721801,1710848
1.0498267e-07,8.0,5.0,8.0,1.0,4.0,5.0,9.0,4.0,3.0,3.0,0.99999994,1.923047e-07,8.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,3.0,2.0,4.982384e-10,-1.5483717e-09,22.0,29.0,0.0034389812,1710826
5.0,5.0,2.0000002,5.0,1.0,4.0,7.0,4.0,4.0,9.0,3.0,3.0,3.0,2.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,4.0,2.0,4.982384e-10,-1.5483717e-09,25.0,15.0,0.005248532,1710956
2.0,0.99999994,8.0,8.0,6.0,5.0,7.0,7.0,11.0,5.0,1.0000002,5.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,2.0,1.0,4.982384e-10,-1.5483717e-09,20.0,15.0,0.032456264,1710841
3.0,2.0,2.197768e-07,4.0,1.393228e-07,2.0,0.9999997,2.0,5.0,3.0,6.0,3.0,1.923047e-07,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,20.0,21.0,0.9688992,1711089
5.0,4.0,6.0,9.0,3.0,3.0,7.0,8.0,8.0,4.0,9.0,-6.3774515e-08,4.0,5.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,3.0,4.982384e-10,-1.5483717e-09,26.0,24.0,0.9887038,1711052
2.0,4.0,2.0000002,9.0,2.0,5.0,4.0,9.0,2.0,7.0,3.0,4.0,2.0,4.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,-4.2189296e-08,1.0,4.982384e-10,-1.5483717e-09,12.999999,16.0,0.007987148,1710815
3.0,4.0,1.0000002,2.0,1.393228e-07,0.99999994,3.0000002,3.0,1.0000002,8.0,4.0,-6.3774515e-08,1.923047e-07,2.0,-1.8396495e-10,-2.7594743e-10,7.0000005,1.1283184e-08,4.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,18.0,23.0,0.004591143,1710905
2.0,5.0,5.0,8.0,2.0,2.0,7.0,7.0,6.0,0.99999976,4.0,0.99999994,4.0,4.0,-1.8396495e-10,-2.7594743e-10,4.0,1.0,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,32.0,14.0,0.003233093,1710933
2.0,2.0,10.0,7.0,6.0,0.99999994,4.0,9.0,8.0,4.0,5.0,1.9999999,0.99999994,5.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,3.0,3.0,4.982384e-10,-1.5483717e-09,20.0,21.0,0.9813105,1711034
3.0,9.0,1.0000002,8.0,1.393228e-07,3.0,2.0000002,9.0,6.0,9.0,4.0,6.0,0.99999994,6.0,1.0,-2.7594743e-10,4.0,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,21.0,14.0,0.0036771654,1710960
7.0,3.0,11.0,4.0,4.0,0.99999994,10.0,4.0,12.0,3.0,5.0,0.99999994,3.0,2.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,3.0,2.0,4.982384e-10,-1.5483717e-09,24.0,18.0,0.97851026,1711143
1.0498267e-07,6.0,7.0,9.0,4.0,2.0,4.0,11.0,5.0,9.0,4.0,3.0,0.99999994,8.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,3.0,1.0,4.982384e-10,-1.5483717e-09,19.0,26.0,0.0037953912,1710835
3.0,2.0,8.0,3.0,3.0,0.99999994,8.0,3.0,6.0,4.0,1.0000002,1.9999999,7.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,2.0,-4.2189296e-08,1.0,4.982384e-10,-1.5483717e-09,33.0,26.0,0.010709802,1710888
3.0,4.0,11.0,2.0,1.0,0.99999994,15.0,3.0,1.0000002,7.0,1.0000002,3.0,2.0,3.0,-1.8396495e-10,-2.7594743e-10,3.0,1.1283184e-08,4.0,1.0,4.982384e-10,-1.5483717e-09,16.0,16.0,0.0034820423,1710824
2.0,2.0,8.0,6.0,2.0,3.0,10.0,6.0,9.0,5.0,4.0,1.9999999,3.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,24.0,19.0,0.9424933,1710983
1.0000001,5.0,2.0000002,8.0,1.0,2.0,0.9999997,9.0,1.0000002,0.99999976,3.0,-6.3774515e-08,1.923047e-07,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,34.0,16.0,0.008429286,1710938
5.0,2.0,10.0,4.0,6.0,0.99999994,12.0,4.0,11.0,6.0,2.0,12.0,7.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,2.0,3.0,4.982384e-10,-1.5483717e-09,30.0,33.0,0.9770874,1711104
7.0,0.99999994,10.0,6.0,4.0,2.0,12.0,0.9999997,10.0,3.0,5.0,5.0,4.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,1.0,2.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,27.0,37.0,0.9865406,1711002
4.0,10.0,3.0,12.0,1.0,9.0,4.0,11.0,4.0,5.0,3.0,3.0,1.923047e-07,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,2.0,1.0,4.982384e-10,-1.5483717e-09,23.0,16.0,0.9574034,1711179
3.0,0.99999994,11.0,1.0000002,4.0,0.99999994,7.0,-2.727587e-07,6.0,1.9999998,2.0,-6.3774515e-08,2.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,16.0,20.0,0.030279443,1710907
3.0,9.0,6.0,4.0,2.0,2.0,6.0,7.0,5.0,4.0,3.0,5.0,2.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,18.0,11.0,0.006349295,1710969
6.0,2.0,7.0,4.0,1.393228e-07,2.0,9.0,0.9999997,4.0,3.0,2.0,0.99999994,2.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,36.0,34.0,0.032164413,1710962
3.0,7.0,6.0,7.0,4.0,3.0,5.0,7.0,10.0,13.0,4.0,5.0,2.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,4.0,4.0,4.982384e-10,-1.5483717e-09,23.0,18.0,0.011139385,1710822
3.0,2.0,7.0,2.0,5.0,-6.181222e-08,13.0,0.9999997,10.0,3.0,3.0,0.99999994,7.0,-1.9721043e-07,-1.8396495e-10,1.0,-9.075604e-09,1.0,-4.2189296e-08,1.0,4.982384e-10,-1.5483717e-09,8.0,20.0,0.9951296,1711103
1.0498267e-07,7.0,2.197768e-07,7.0,1.393228e-07,2.0,0.9999997,9.0,4.0,8.0,2.0,1.9999999,1.923047e-07,6.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,28.0,29.0,0.0037825543,1710898
4.0,0.99999994,6.0,2.0,2.0,-6.181222e-08,9.0,4.0,11.0,1.9999998,4.0,5.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,1.0,2.0,4.982384e-10,-1.5483717e-09,23.0,15.0,0.98409665,1711061
6.0,5.0,3.0,17.0,2.0,9.0,6.0,10.0,8.0,7.0,10.0,8.0,5.0,6.0,-1.8396495e-10,-2.7594743e-10,2.0,4.0,3.0,3.0,4.982384e-10,-1.5483717e-09,33.0,24.0,0.011661795,1710856
7.0,2.0,7.0,7.0,4.0,2.0,11.0,5.0,11.0,8.0,4.0,3.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,1.0,1.0,4.982384e-10,-1.5483717e-09,39.0,32.0,0.9861596,1711081
8.0,2.0,4.0,5.0,3.0,2.0,10.0,5.0,3.0,6.0,3.0,4.0,3.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,32.0,27.0,0.061445296,1710967
7.0,7.0,4.0,2.0,2.0,-6.181222e-08,7.0,5.0,7.0,3.0,4.0,1.9999999,4.0,5.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,1.0,1.0,0.99999994,22.0,26.0,0.99495184,1711123
2.0,3.0,1.0000002,15.0,1.393228e-07,5.0,0.9999997,13.0,3.0,3.0,2.0,3.0,1.923047e-07,5.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,24.0,18.0,0.9768431,1711040
4.0,2.0,5.0,13.0,3.0,4.0,7.0,5.0,7.0,8.0,2.433243e-07,9.0,2.0,2.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,1.0,4.982384e-10,-1.5483717e-09,11.0,34.0,0.98076975,1710994
5.0,7.0,7.0,8.0,2.0,2.0,9.0,8.0,6.0,6.0,3.0,4.0,3.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,1.0,4.982384e-10,-1.5483717e-09,28.0,9.0,0.017308213,1710919
3.0,8.0,4.0,9.0,2.0,4.0,4.0,12.0,2.0,5.0,2.0,0.99999994,3.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,31.0,13.0,0.016051251,1710883
1.0000001,4.0,5.0,2.0,1.393228e-07,0.99999994,7.0,2.0,3.0,7.0,3.0,4.0,2.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,1.0,4.982384e-10,-1.5483717e-09,16.0,7.000001,0.0036051613,1710921
8.0,0.99999994,7.0,2.0,1.0,0.99999994,12.0,2.0,3.0,3.0,3.0,4.0,2.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,2.0,1.0,2.0,4.982384e-10,-1.5483717e-09,15.0,20.0,0.9942232,1711049
4.0,2.0,7.0,2.0,3.0,0.99999994,9.0,2.0,3.0,3.0,2.0,3.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,4.0,3.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,17.0,41.0,0.9924723,1711076
1.0000001,3.0,4.0,4.0,3.0,2.0,4.0,5.0,2.0,1.9999998,1.0000002,4.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,-6.426509e-08,4.982384e-10,-1.5483717e-09,10.0,20.0,0.9777543,1711159
2.0,1.5796458e-07,12.0,5.0,6.0,2.0,6.0,3.0,18.0,6.0,6.0,3.0,3.0,3.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,5.0,4.982384e-10,-1.5483717e-09,20.0,24.0,0.99512285,1711169
7.0,3.0,3.0,5.0,2.0,2.0,6.0,6.0,12.0,9.0,3.0,4.0,1.923047e-07,0.99999994,-1.8396495e-10,-2.7594743e-10,2.0,2.0,-4.2189296e-08,3.0,4.982384e-10,-1.5483717e-09,9.0,16.0,0.9904625,1711033
1.0000001,5.0,3.0,5.0,1.393228e-07,0.99999994,4.0,4.0,13.0,10.0,4.0,4.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,3.0,1.1283184e-08,1.0,2.0,4.982384e-10,-1.5483717e-09,17.0,23.0,0.0031854562,1710939
6.0,1.5796458e-07,14.999999,10.0,6.9999995,6.0,10.0,6.0,3.0,12.0,3.0,5.0,5.0,4.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,-4.2189296e-08,2.0,4.982384e-10,-1.5483717e-09,15.0,21.0,0.9945261,1711015
4.0,1.5796458e-07,7.0,3.0,1.0,2.0,8.0,2.0,3.0,3.0,4.0,4.0,3.0,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,1.0,4.982384e-10,-1.5483717e-09,16.0,28.0,0.9925275,1711099
4.0,3.0,9.0,6.0,5.0,2.0,6.0,6.0,4.0,10.0,2.0,6.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,25.0,29.0,0.019651208,1710899
2.0,3.0,5.0,11.0,3.0,4.0,3.0000002,10.0,5.0,14.0,4.0,4.0,0.99999994,4.0,-1.8396495e-10,-2.7594743e-10,1.0,1.0,1.0,2.0,4.982384e-10,-1.5483717e-09,37.0,19.0,0.007027536,1710973
3.0,4.0,2.0000002,8.0,2.0,-6.181222e-08,0.9999997,11.0,9.0,8.0,6.0,0.99999994,0.99999994,3.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,2.0,2.0,4.982384e-10,-1.5483717e-09,32.0,14.0,0.017384859,1710901
11.0,5.0,2.0000002,4.0,2.0,2.0,8.0,5.0,3.0,4.0,2.0,3.0,0.99999994,2.0,-1.8396495e-10,-2.7594743e-10,2.0,1.0,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,12.999999,23.0,0.9929436,1711032
3.0,4.0,8.0,3.0,6.9999995,2.0,5.0,4.0,7.0,0.99999976,7.0,1.9999999,0.99999994,3.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,1.0,2.0,4.982384e-10,-1.5483717e-09,18.0,23.0,0.9711628,1711102
4.0,4.0,3.0,9.0,1.0,5.0,5.0,11.0,9.0,3.0,9.0,0.99999994,0.99999994,-1.9721043e-07,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,3.0,1.0,2.0,4.982384e-10,-1.5483717e-09,30.0,9.0,0.01844601,1710948
3.0,4.0,6.0,8.0,2.0,2.0,7.0,7.0,2.0,10.0,10.0,7.0,2.0,0.99999994,-1.8396495e-10,-2.7594743e-10,1.0,1.0,2.0,1.0,4.982384e-10,-1.5483717e-09,25.0,24.0,0.0039837076,1710957
2.0,2.0,2.0000002,11.0,1.0,6.0,2.0000002,7.0,2.0,7.0,4.0,3.0,1.923047e-07,3.0,1.0,-2.7594743e-10,1.0,1.0,1.0,1.0,4.982384e-10,-1.5483717e-09,17.0,16.0,0.9938274,1711097
3.0,5.0,14.0,4.0,6.9999995,-6.181222e-08,13.0,5.0,9.0,1.9999998,4.0,3.0,5.0,0.99999994,-1.8396495e-10,-2.7594743e-10,6.0,1.1283184e-08,2.0,4.0,4.982384e-10,0.99999994,24.0,20.0,0.003175966,1710912
4.0,7.0,3.0,6.0,1.0,4.0,9.0,8.0,7.0,7.0,2.0,3.0,5.0,2.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.0,2.0,3.0,4.982384e-10,-1.5483717e-09,20.0,23.0,0.004440175,1710840
2.0,3.0,2.0000002,8.0,1.0,5.0,3.0000002,5.0,1.0000002,11.0,2.0,7.0,2.0,5.0,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,2.0,1.0,4.982384e-10,-1.5483717e-09,18.0,16.0,0.02292661,1710975
1.0000001,5.0,4.0,6.0,3.0,2.0,4.0,9.0,1.0000002,4.0,1.0000002,1.9999999,0.99999994,6.0,-1.8396495e-10,-2.7594743e-10,9.0,1.1283184e-08,-4.2189296e-08,-6.426509e-08,4.982384e-10,-1.5483717e-09,24.0,12.0,0.0035404926,1710964
6.0,9.0,7.0,8.0,3.0,0.99999994,5.0,12.0,8.0,4.0,3.0,6.0,2.0,8.0,-1.8396495e-10,1.0,-9.075604e-09,1.1283184e-08,1.0,2.0,4.982384e-10,-1.5483717e-09,12.999999,24.0,0.995203,1711180
3.0,7.0,2.0000002,9.0,1.393228e-07,7.0,6.0,10.0,6.0,4.0,4.0,8.0,2.0,4.0,-1.8396495e-10,-2.7594743e-10,-9.075604e-09,1.1283184e-08,1.0,2.0,1.0,-1.5483717e-09,27.0,27.0,0.003379799,1710808
3.0,3.0,6.0,2.0,3.0,2.0,3.0000002,2.0,7.0,8.0,6.0,7.0,0.99999994,0.99999994,-1.8396495e-10,-2.7594743e-10,1.0,1.1283184e-08,2.0,4.0,4.982384e-10,-1.5483717e-09,15.0,38.0,0.020586055,1710884
